Designator,Footprint,Quantity,Value,LCSC Part #
"CAM, ESP, IMU, TEENSY",SS12D00G3-2.5mm,4,SW_SPDT,
"H1, H2, H3, H4, H5, H6, H7, H8",MountingHole_3.2mm_M3_Pad_Via,8,MountingHole_Pad,
J1,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,Conn_01x04,
"J2, J3, J4, J5",PinHeader_1x06_P2.54mm_Vertical,4,Conn_01x06,
"R1, R2",0603,2,1k,
U1,BNO085,1,~,
U2,OpenMV,1,~,
U3,xiao-esp32c3,1,~,
U4,MODULE_DEV-15583,1,DEV-15583,
