Designator,Mid X,Mid Y,Rotation,Layer
CAM,-45.93,-37.937452,90.0,top
ESP,-45.93,-27.157452,90.0,top
IMU,-38.15,-27.157452,90.0,top
J1,27.48,-37.477452,0.0,bottom
J2,0.05,38.932548,270.0,top
J3,47.23,-0.05,180.0,top
J4,-0.05,-38.377452,90.0,top
J5,-39.46,0.05,0.0,top
R1,-42.55,16.632548,225.0,top
R2,-43.5,19.640548,225.0,top
TEENSY,-38.15,-37.937452,90.0,top
U1,31.84,-0.047452,0.0,top
U2,0.0,13.74,180.0,top
U3,-37.626307,28.982548,45.0,top
U4,0.35,-27.0,270.0,top
