Designator,Mid X,Mid Y,Rotation,Layer
C1,-37.53,7.59,0.0,top
C2,-41.4,4.75,90.0,top
C3,-50.29,-8.91,0.0,top
C4,-39.97,-2.51,90.0,top
C5,50.922701,8.230752,0.0,top
C6,4.728,10.766,90.0,top
C7,46.872701,5.300752,90.0,top
C8,39.772701,-9.299248,0.0,top
C9,47.252701,-2.149248,90.0,top
D1,-37.678932,-51.733004,306.0,bottom
D10,0.075,64.0,90.0,bottom
D11,-25.96263,58.497414,66.0,bottom
D12,-47.511084,42.880094,42.0,bottom
D13,-60.844441,19.848416,18.0,bottom
D14,-63.657241,-6.615233,354.0,bottom
D15,-55.463126,-31.935048,330.0,bottom
D16,-48.04,9.98,0.0,top
D17,42.032701,10.100752,0.0,top
D2,-13.379709,-62.585853,282.0,bottom
D3,13.232988,-62.61704,258.0,bottom
D4,37.55758,-51.821171,234.0,bottom
D5,55.388126,-32.064951,210.0,bottom
D6,63.641562,-6.76441,186.0,bottom
D7,60.890793,19.705759,162.0,bottom
D8,47.611453,42.768623,138.0,bottom
D9,26.099661,58.436404,114.0,bottom
J1,-11.685,-73.31,270.0,top
J2,73.79,9.35,90.0,top
J3,-73.79,9.35,90.0,top
L1,-48.82,0.85,270.0,top
L2,39.372701,0.870752,270.0,top
R1,-0.07,-63.64,90.0,bottom
R10,37.463285,51.444697,306.0,bottom
R11,55.148857,31.759378,330.0,bottom
R12,63.29869,6.582575,354.0,bottom
R13,60.503606,-19.732415,18.0,bottom
R14,47.246898,-42.635492,42.0,bottom
R15,25.820772,-58.166504,66.0,bottom
R16,-4.72,10.6625,90.0,top
R17,8.35,-5.34,270.0,top
R18,-38.24,-2.51,90.0,top
R19,-36.56,-2.49,270.0,top
R2,-25.948668,-58.109561,114.0,bottom
R20,49.002701,-2.169248,90.0,top
R21,50.602701,-2.189248,270.0,top
R3,-47.340576,-42.531452,138.0,bottom
R4,-60.546868,-19.599268,162.0,bottom
R5,-63.284056,6.721808,186.0,bottom
R6,-55.078857,31.880622,210.0,bottom
R7,-37.350022,51.526986,234.0,bottom
R8,-13.16303,62.263867,258.0,bottom
R9,13.29997,62.234759,282.0,bottom
SW1,24.94,-74.95,270.0,top
U1,1.32,-73.6,180.0,top
U2,0.0,0.0,270.0,top
U3,-37.75,3.05,90.0,top
U4,50.542701,3.420752,90.0,top
